2024-10-09 17:01:33,201 p=13728 u=kirill n=ansible | playbook: site.yml
2024-10-09 17:01:49,896 p=13736 u=kirill n=ansible | PLAY [all] ****************************************************************************
2024-10-09 17:01:49,905 p=13736 u=kirill n=ansible | TASK [Gathering Facts] ****************************************************************
2024-10-09 17:01:50,259 p=13736 u=kirill n=ansible | fatal: [localhost]: FAILED! => {"ansible_facts": {}, "changed": false, "failed_modules": {"ansible.legacy.setup": {"failed": true, "module_stderr": "sudo: a password is required\n", "module_stdout": "", "msg": "MODULE FAILURE\nSee stdout/stderr for the exact error", "rc": 1}}, "msg": "The following modules failed to execute: ansible.legacy.setup\n"}
2024-10-09 17:01:52,611 p=13736 u=kirill n=ansible | ok: [server-2.sber.ru]
2024-10-09 17:01:52,996 p=13736 u=kirill n=ansible | ok: [server-1.sber.ru]
2024-10-09 17:01:53,001 p=13736 u=kirill n=ansible | TASK [update cache] *******************************************************************
2024-10-09 17:01:56,489 p=13736 u=kirill n=ansible | ok: [server-1.sber.ru]
2024-10-09 17:01:57,029 p=13736 u=kirill n=ansible | ok: [server-2.sber.ru]
2024-10-09 17:01:57,068 p=13736 u=kirill n=ansible | PLAY [all] ****************************************************************************
2024-10-09 17:01:57,076 p=13736 u=kirill n=ansible | TASK [Gathering Facts] ****************************************************************
2024-10-09 17:01:58,449 p=13736 u=kirill n=ansible | ok: [server-1.sber.ru]
2024-10-09 17:01:58,505 p=13736 u=kirill n=ansible | ok: [server-2.sber.ru]
2024-10-09 17:01:58,522 p=13736 u=kirill n=ansible | TASK [base : add ssh key for susan] ***************************************************
2024-10-09 17:01:59,103 p=13736 u=kirill n=ansible | ok: [server-1.sber.ru]
2024-10-09 17:01:59,123 p=13736 u=kirill n=ansible | ok: [server-2.sber.ru]
2024-10-09 17:01:59,161 p=13736 u=kirill n=ansible | PLAY [server_2] ***********************************************************************
2024-10-09 17:01:59,169 p=13736 u=kirill n=ansible | TASK [Gathering Facts] ****************************************************************
2024-10-09 17:02:00,451 p=13736 u=kirill n=ansible | ok: [server-2.sber.ru]
2024-10-09 17:02:00,466 p=13736 u=kirill n=ansible | TASK [web_servers : install apache, Lynx browser] *************************************
2024-10-09 17:02:04,141 p=13736 u=kirill n=ansible | ok: [server-2.sber.ru]
2024-10-09 17:02:04,147 p=13736 u=kirill n=ansible | TASK [web_servers : start apache2 (this is not required for Ubuntu. But for Fedora and RHEL you need to start services manually after installation in most cases)] ***
2024-10-09 17:02:05,035 p=13736 u=kirill n=ansible | ok: [server-2.sber.ru]
2024-10-09 17:02:05,042 p=13736 u=kirill n=ansible | TASK [web_servers : change timeout value in apache2.conf] *****************************
2024-10-09 17:02:05,559 p=13736 u=kirill n=ansible | ok: [server-2.sber.ru]
2024-10-09 17:02:05,565 p=13736 u=kirill n=ansible | TASK [web_servers : restart apache2] **************************************************
2024-10-09 17:02:05,581 p=13736 u=kirill n=ansible | skipping: [server-2.sber.ru]
2024-10-09 17:02:05,591 p=13736 u=kirill n=ansible | TASK [web_servers : copy default html file for site] **********************************
2024-10-09 17:02:06,532 p=13736 u=kirill n=ansible | ok: [server-2.sber.ru]
2024-10-09 17:02:06,567 p=13736 u=kirill n=ansible | PLAY [workstations] *******************************************************************
2024-10-09 17:02:06,570 p=13736 u=kirill n=ansible | PLAY RECAP ****************************************************************************
2024-10-09 17:02:06,570 p=13736 u=kirill n=ansible | localhost                  : ok=0    changed=0    unreachable=0    failed=1    skipped=0    rescued=0    ignored=0   
2024-10-09 17:02:06,570 p=13736 u=kirill n=ansible | server-1.sber.ru           : ok=4    changed=0    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2024-10-09 17:02:06,570 p=13736 u=kirill n=ansible | server-2.sber.ru           : ok=9    changed=0    unreachable=0    failed=0    skipped=1    rescued=0    ignored=0   
2024-10-09 17:18:53,572 p=14672 u=kirill n=ansible | PLAY [all] ****************************************************************************
2024-10-09 17:18:53,579 p=14672 u=kirill n=ansible | TASK [Gathering Facts] ****************************************************************
2024-10-09 17:18:54,040 p=14672 u=kirill n=ansible | fatal: [localhost]: FAILED! => {"ansible_facts": {}, "changed": false, "failed_modules": {"ansible.legacy.setup": {"failed": true, "module_stderr": "sudo: a password is required\n", "module_stdout": "", "msg": "MODULE FAILURE\nSee stdout/stderr for the exact error", "rc": 1}}, "msg": "The following modules failed to execute: ansible.legacy.setup\n"}
2024-10-09 17:18:56,096 p=14672 u=kirill n=ansible | ok: [server-2.sber.ru]
2024-10-09 17:18:56,309 p=14672 u=kirill n=ansible | ok: [server-1.sber.ru]
2024-10-09 17:18:56,313 p=14672 u=kirill n=ansible | TASK [update cache] *******************************************************************
2024-10-09 17:18:59,552 p=14672 u=kirill n=ansible | ok: [server-1.sber.ru]
2024-10-09 17:18:59,571 p=14672 u=kirill n=ansible | ok: [server-2.sber.ru]
2024-10-09 17:18:59,616 p=14672 u=kirill n=ansible | PLAY [all] ****************************************************************************
2024-10-09 17:18:59,622 p=14672 u=kirill n=ansible | TASK [Gathering Facts] ****************************************************************
